Uuid,Void/Retire,Name,Description,Format,Foreign uuid,Searchable,Edit privilege,_order:1000
8d871386-c2cc-11de-8d13-0010c6dffd0f,,Race,Group of persons related by common descent or heredity,java.lang.String,,,,
8d8718c2-c2cc-11de-8d13-0010c6dffd0f,,Birthplace,Location of persons birth,java.lang.String,,,,
8d871afc-c2cc-11de-8d13-0010c6dffd0f,,Citizenship,Country of which this person is a member,java.lang.String,,,,
8d871d18-c2cc-11de-8d13-0010c6dffd0f,,Mother's Name,First or last name of this person's mother,java.lang.String,,,,
8d871f2a-c2cc-11de-8d13-0010c6dffd0f,,"Civil Status ",Marriage status of this person,"org.openmrs.Concept ",1054AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,
8d872150-c2cc-11de-8d13-0010c6dffd0f,,Health District,District/region in which this patient' home health center resides,java.lang.String,,,,
8d87236c-c2cc-11de-8d13-0010c6dffd0f,,Health Center,Specific Location of this person's home health center.,org.openmrs.Location,,,,
793a8d9f-63c6-4edd-a321-53b23165be50,,CRUID,CRUID,java.lang.String,,TRUE,,
2b4fbe39-3281-42fa-b45b-e5cfee7bf1db,,phone,phone,java.lang.String,,TRUE,,
f1c8c615-1c73-4976-8218-a74ca67e22bb,,Patient Status,Patient Status,"org.openmrs.Concept ",b285151c-0392-40c9-91f1-2dbd9e9672cd,,,
11e3f71d-c4b2-4b4b-a26b-59e43f2d5347,,Patient Status Date,Patient Status Date,org.openmrs.util.AttributableDate,,,,
